Red_Corner_Fighter,Blue_Corner_Fighter,Odds_Red_Fighter,Odds_Blue_Fighter,Winner
Geraldo de Freitas,Chris Gutierrez,-175,155,Blue
Kazula Vargas,Alex Da Silva,240,-280,Blue
Veronica Macedo,Polyana Viana,-130,110,Red
Daniel Cormier,Stipe Miocic,-145,125,Blue
Anthony Pettis,Nate Diaz,-120,100,Blue
Yoel Romero,Paulo Costa,-165,145,Blue
Gabriel Benitez,Sodiq Yusuff,235,-275,Blue
Derek Brunson,Ian Heinisch,140,-160,Red
Devonte Smith,Khama Worthy,-1000,650,Blue
Raphael Assuncao,Cory Sandhagen,220,-260,Blue
Christos Giagos,Drakkar Klose,165,-190,Blue
Manny Bermudez,Casey Kenney,-170,150,Blue
Hannah Cifers,Jodie Esquibel,-290,245,Red
Kyung Ho Kang,Brandon Davis,-190,165,Red
Sabina Mazo,Shana Dobson,-145,125,Red
Jessica Andrade,Zhang Weili,-200,170,Blue
Li Jingliang,Elizeu Dos Santos,215,-255,Red
Kai Kara-France,Mark De La Rosa,-185,160,Red
Song Kenan,Derrick,-110,-110,Red
Wu Yanan,Mizuki Inoue,150,-170,Blue
Junyong Park,Anthony Hernandez,125,-145,Blue
Su Mudaerji,Andre Soukhamthath,140,-160,Red
Da Un Jung,Khadis Ibragimov,245,-290,Red
Damir Ismagulov,Thiago Moises,-220,180,Red
Heili Alateng,Danaa Batgerel,-120,100,Red
Karol Rosa,Lara Procopio,-115,-105,Red
Khabib Nurmagomedov,Dustin Poirier,-400,325,Red
